,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT4G20430,0.913491697786561,4.33448674593923,4.52106689881567,0.00019283198052019,0.0044704726994642,0.642172991550021
AT1G16330,1.1944579032159,3.18936553132145,4.52073154251059,0.000192985301542335,0.0044704726994642,0.757091561347271
AT5G62440,0.851490728365254,5.12215851865645,4.51819335765622,0.000194149715487349,0.0044766221588898,0.559694643809388
AT1G67310,-0.489981818898896,6.27100728877247,-4.51804414842866,0.000194218386116638,0.0044766221588898,0.498283057407246
AT2G47640,0.609571548752142,5.29490590930823,4.51748241615953,0.000194477131708023,0.0044766221588898,0.550133081637947
AT5G60540,0.41827788970142,4.48627848666222,4.51696309266311,0.000194716651526097,0.0044766221588898,0.627355072335561
AT1G71240,-0.520961675020621,4.28867310756065,-4.51689279602608,0.000194749096197345,0.0044766221588898,0.651393420163303
AT5G36130,-2.85837583390886,-0.643727372211173,-4.51658680455802,0.000194890386723351,0.0044766221588898,0.307230310555348
AT1G19950,0.846935332382343,3.40810227695201,4.51656554104285,0.000194900208911929,0.0044766221588898,0.748148948041527
AT2G36110,2.91079041969529,-1.2468952355071,4.51645847175369,0.00019494967466133,0.0044766221588898,-0.122378317829527
AT5G16360,-0.732464356998688,4.17394366285071,-4.51571228466209,0.000195294762280788,0.00447966658202286,0.67473061765442
AT5G51980,0.351409835362796,4.98058181223075,4.51417131105034,0.000196009359951349,0.0044908933564872,0.574993781502335
AT5G63530,1.08464255195842,4.58003119784201,4.51329439059767,0.000196417189506689,0.0044908933564872,0.621022571726945
AT5G05920,0.701279379904268,3.69686770844475,4.51256996200822,0.000196754743629128,0.0044908933564872,0.700054919746428
AT1G06890,0.406218509065443,6.62794796307123,4.51206809375678,0.00019698893594809,0.0044908933564872,0.475495457791926
AT5G55250,-1.40016245867371,3.25714368615352,-4.51206680438247,0.000196989537984151,0.0044908933564872,0.753688594714478
AT4G32060,-0.538311565890932,7.19717323396366,-4.51167651963242,0.000197171855288283,0.0044908933564872,0.471862204717924
AT5G50890,1.10933638780801,2.43240917897125,4.5114548399556,0.000197275486153091,0.0044908933564872,0.8020693669646
AT3G06530,0.886377839060106,6.36605400319959,4.50871721554527,0.000198559798138761,0.00451525409359772,0.473855943966893
AT5G62700,0.509808627597309,8.41811923051698,4.5079606978314,0.000198916187488044,0.00451848408647411,0.467640324810279
AT3G53420,-0.666471293115988,10.8378930554766,-4.50615703674777,0.000199768476260902,0.00453295961203425,0.491918750447069
AT5G48500,0.697540682582267,4.3675109782497,4.5039742097004,0.000200804848923626,0.00454579310398215,0.602872011665313
AT5G56010,0.67349005422968,8.45225659579765,4.50368046584521,0.000200944726327379,0.00454579310398215,0.45905474549765
AT3G19790,0.532037411359161,3.75084796091364,4.50360435496153,0.000200980985432228,0.00454579310398215,0.674334261097783
AT1G16010,-0.345340375492226,5.7090215030202,-4.5018887415754,0.000201800049708594,0.0045594266322156,0.480074168135054
AT4G37235,1.22679213151773,0.446396103233594,4.49642406755063,0.000204431433962221,0.0046106790176457,0.649071166810228
AT5G41260,0.48694521173481,5.88941950036916,4.49627040341506,0.000204505924169769,0.0046106790176457,0.460860176665407
AT2G18350,-1.01431496557989,2.83326958813515,-4.49358925640481,0.000205810039995802,0.0046351235503328,0.759525907473549
AT2G22090,-0.559996997506743,4.27526600297159,-4.49115416315263,0.000207001722780475,0.00465698646340705,0.598974708127477
AT3G62120,0.496654728174196,7.81469272357621,4.48987874296463,0.000207628653493055,0.00466118308847137,0.42237554548216
AT3G11660,-0.559438627950026,6.24159487492128,-4.4891687336525,0.000207978484592999,0.00466118308847137,0.431887774578538
AT1G67120,0.732521291983625,6.47991601532117,4.48910926496144,0.000208007812508774,0.00466118308847137,0.425745854255812
AT3G02600,0.416330618866959,5.0958294423563,4.48859726545754,0.000208260485221152,0.00466118308847137,0.499561531578645
AT5G56580,0.879414097632134,3.60806004293195,4.48852969325599,0.000208293855281785,0.00466118308847137,0.650671440694599
AT4G02075,-1.23485946792223,4.06604680233851,-4.48575063543828,0.00020967094274447,0.00468702383144584,0.605777797385947
AT4G29510,0.898651354861888,5.17151442768388,4.48369876905261,0.000210693563249966,0.00470489439969203,0.480756125147346
AT5G56030,0.818939942116145,8.83247457375096,4.47980755188812,0.000212646687129053,0.00474222424649257,0.407230905395703
AT2G24240,-1.20550271604898,3.73976712610658,-4.47947353526105,0.000212815186773339,0.00474222424649257,0.634536947971567
AT4G17340,-1.09206999290327,9.19655797339847,-4.47842116821919,0.000213346947436443,0.00474822173383664,0.405769764548372
AT5G43830,0.403266040581855,7.83105578140043,4.47804997588547,0.000213534829396448,0.00474822173383664,0.394409489759654
AT1G78865,1.3328744098267,1.60759028902318,4.47227182936146,0.000216481031737737,0.00480866190625025,0.724998069177064
AT5G47830,-0.746172201231351,3.81728066099228,-4.47126802826638,0.000216997008852042,0.00481504941747477,0.602875691184427
AT3G27400,2.58893163137425,0.953130566210025,4.47024536688452,0.000217523952342664,0.00482166657769018,0.619060701510215
AT5G01420,1.30916854539118,0.861540613657663,4.46942423197498,0.00021794798712048,0.00482599114338205,0.640471088709856
AT5G13330,-1.17687311909327,3.9408751010902,-4.46896441622227,0.000218185799303095,0.00482618745992575,0.602533418777609
AT3G62360,0.493503571359175,7.89491440307853,4.46713839788925,0.000219132776281334,0.00484125894381862,0.369789096508002
AT2G37760,-0.659921247763486,5.4139387815099,-4.46602569331362,0.00021971185252474,0.00484125894381862,0.40248257365432
AT2G20590,1.24329671297434,2.71238094593565,4.46592014619043,0.000219766861431195,0.00484125894381862,0.687376043163757
AT3G59820,1.02200851836713,5.00473792172347,4.46504189799332,0.000220225122966485,0.00484125894381862,0.453084898985645
AT3G55620,0.51645315018503,6.30161974590226,4.46457341817637,0.000220469964086313,0.00484125894381862,0.369443407452736
AT3G13560,0.562627356272563,4.45026303290227,4.46443309989612,0.000220543351733427,0.00484125894381862,0.51127374989312
AT1G04250,-0.652885968636882,7.11287555855056,-4.46416937779935,0.000220681347086953,0.00484125894381862,0.361440498919139
AT1G03780,1.15677535294424,4.52501787686092,4.4641252386285,0.000220704451850555,0.00484125894381862,0.492404978348945
AT4G35420,-1.24604691628761,4.01924559226825,-4.46308020254544,0.000221252189725112,0.00484378294740384,0.539734769579472
AT1G08880,0.451546467944663,6.21393413352222,4.46272927607707,0.00022143642822628,0.00484378294740384,0.368675325074063
AT3G12950,0.482259822949955,5.72753767051351,4.46259139343119,0.000221508859644085,0.00484378294740384,0.389315302842173
AT4G05520,1.03661530588146,4.21201720313057,4.46135162346792,0.000222161196684288,0.00485301349855419,0.513334764501217
AT1G23790,1.16697553447149,2.49005718111937,4.46004252663146,0.000222852108473947,0.00486306671493872,0.686991448253505
AT5G11680,-0.53972253285707,5.90441223722109,-4.45858570500678,0.000223623526037446,0.00487485411465291,0.374452015864085
AT1G32790,-0.450036057489156,7.34832073169463,-4.45789904654652,0.000223988056391679,0.00487717760174175,0.346435445380575
AT4G09460,-0.760575335996453,4.27801996267057,-4.45747320502854,0.000224214425402171,0.00487717760174175,0.525121196789841
AT5G26960,-0.661576245807874,3.91077281076925,-4.45707895404195,0.00022442420653176,0.00487717760174175,0.565978177055884
AT3G58570,0.341145538755079,5.19403406303561,4.45661312555196,0.000224672328404871,0.00487754138287814,0.41587463948586
AT1G23040,-0.826561653808715,5.91367136726208,-4.45535758757395,0.00022534246040357,0.00488705665155068,0.373650504387998
AT1G55900,0.798607593513002,4.83657948646552,4.45464085330411,0.000225725911373229,0.00489034143036759,0.441067568160474
AT4G33440,0.564237052399714,3.98719194164693,4.45411545745788,0.000226007413366876,0.00489141301208804,0.534130107650577
AT1G64760,1.15380663178138,3.21159126163571,4.45256910315332,0.000226837984523277,0.00490435355256479,0.620764912308646
AT1G04510,0.557440032706907,6.17660139291919,4.44980307739773,0.000228331320708408,0.00493158221366112,0.341308328903523
AT1G76400,0.568961376261456,6.1610453842553,4.44849801756826,0.000229039330404257,0.00494181073175204,0.340217360308721
AT1G48690,-1.02731776386446,4.19659055115553,-4.44713143230459,0.000229783083712288,0.00495278875731598,0.5008848121791
AT2G34357,0.682096282708905,6.33975549298744,4.44594240655551,0.00023043217633912,0.00495900044174764,0.327278379625749
AT1G43650,1.12620501364205,4.23033570422352,4.44574198892568,0.000230541766267205,0.00495900044174764,0.475109369860389
AT4G22780,-0.987074130436755,5.22539159230389,-4.44369035341363,0.000231666633973885,0.00497811686459683,0.413248865492603
AT1G26260,1.01591454870471,3.18518081066111,4.44240537367191,0.000232373968596538,0.00498823142364056,0.599893222940179
